id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2442, Mugla, Resit , 07/01/2019 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
2443, Gaziantep ,, 07/01/2019 ,   Yok ,Tartisma,,Sevgilisi,,Bogulma,,, Tutuklu ,2019
2444, Gaziantep , Resit Degil , 07/02/2019 ,   Yok ,Tespit Edilemeyen,,Babasi,,Darp,,, Tutuklu ,2019
2445, Gaziantep ,, 07/02/2019 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Araniyor ,2019
2446, Gaziantep , Resit , 07/02/2019 ,   Yok ,Para,,Damadi,,Atesli Silah,,, Tutuklu ,2019
2447, Gaziantep , Resit , 07/02/2019 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
2448, Gaziantep , Resit , 07/03/2019 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2019
2449, Gaziantep ,, 07/05/2019 ,   Yok ,Tartisma,,Abisi,,Atesli Silah,,, Tutuklu ,2019
2450, Gaziantep , Resit , 07/05/2019 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Darp,,, Tutuklu ,2019
2451, Gaziantep , Resit , 07/08/2019 ,   Yok ,Tartisma,,Sevgilisi,,Darp,,, Tutuklu ,2019
2452, Gaziantep ,, 07/08/2019 ,   Yok ,Kizini Korurken,,Damadi,,Kesici Alet,,, Kacak ,2019
2453, Giresun , Resit , 07/09/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2019
2454, Giresun ,, 07/09/2019 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Kacak ,2019
2455, Hakkari ,, 07/10/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2019
2456, Isparta ,, 08/04/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2019
2457, Istanbul  ,, 08/04/2019 ,   Yok ,Ayrilik Talebi,,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2019
2458, Istanbul ,, 08/04/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2019
2459, Istanbul , Resit , 08/04/2019 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Bogulma,,, Tutuklu ,2019
2460, Istanbul ,, 08/04/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2019
2461, Istanbul , Resit , 08/05/2019 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2019
2462, Istanbul , Resit , 08/07/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2019
2463, Istanbul , Resit , 08/08/2019 ,   Yok ,Tartisma,,Kocasi,,Darp,,, Araniyor ,2019
2464, Istanbul , Resit , 08/08/2019 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2019
2465, Istanbul , Resit , 08/10/2019 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,, Tutuklu ,2019
